num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,100,1.0,0.0,2.5,0.1,0,2,2000,2000,172,314,50,30,1.96667,0.182574,0.0,0.0,0.0,0.0,0,0.00616667,0.00292532
75,3,100,1.0,0.0,2.5,0.1,0,2,2000,2000,172,314,50,30,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0107333,0.00236254
100,3,100,1.0,0.0,2.5,0.1,0,2,2000,2000,172,314,50,30,2.03333,0.182574,0.0,0.0,0.0,0.0,0,0.0201333,0.0123253
125,3,100,1.0,0.0,2.5,0.1,0,2,2000,2000,172,314,50,30,2.83333,0.379049,0.0,0.0,0.0,0.0,0,0.0310333,0.0108484
150,3,100,1.0,0.0,2.5,0.1,0,2,2000,2000,172,314,50,30,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0387333,0.00525182
175,3,100,1.0,0.0,2.5,0.1,0,2,2000,2000,172,314,50,30,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0602667,0.0298882
200,3,100,1.0,0.0,2.5,0.1,0,2,2000,2000,172,314,50,30,3.4,0.498273,0.0,0.0,0.0,0.0,0,0.0666333,0.0287959
