num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,3,10,3.1,0.316228,0,0,0,0,17,0.007,0.00498888
100,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,3,10,5.0,0.0,0,0,0,0,89,0.0245,0.0194322
200,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,3,10,9.2,0.421637,0,0,0,0,161,0.1168,0.0769326
400,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,3,10,17.7,0.483046,0,0,0,0,233,1.2006,0.189478
